,author_id
942,A100613846
943,A1006145774
944,A1006152856
945,A100616877
946,A1006170963
947,A100617110
948,A100617599
949,A1006195108
950,A1006195930
951,A100620036
952,A1006202167
953,A100620862
954,A1006208647
955,A1006210987
956,A100621219
957,A100621462
958,A1006219839
959,A1006220047
960,A100623750
961,A1006241338
962,A1006251180
963,A1006252842
964,A1006253743
965,A100626164
966,A100626493
967,A100627464
968,A1006275216
969,A100628001
970,A100629229
971,A10062951
972,A100630995
973,A1006311686
974,A1006325063
975,A10063464
976,A100634741
977,A1006350826
978,A1006355709
979,A100635612
980,A100637529
981,A1006376752
982,A100637986
983,A100638807
984,A100640073
985,A1006413227
986,A100641536
987,A1006420820
988,A1006430301
989,A100643266
990,A1006442172
991,A100644258
992,A100645720
993,A100645900
994,A100647431
995,A100648250
996,A1006485067
997,A1006491354
998,A1006496167
999,A1006507344
1000,A1006511734
1001,A100651479
1002,A1006514935
1003,A100651623
1004,A100651960
1005,A1006521973
1006,A1006522295
1007,A1006522524
1008,A100652304
1009,A100652855
1010,A100654205
1011,A100654212
1012,A1006543089
1013,A1006543556
1014,A1006545697
1015,A1006552144
1016,A1006553153
1017,A100656190
1018,A1006562300
1019,A1006564439
1020,A1006567804
1021,A100656821
1022,A100656950
1023,A1006575742
1024,A100657680
1025,A1006578884
1026,A1006581565
1027,A1006590581
1028,A10066118
1029,A100661510
1030,A1006619901
1031,A100662924
1032,A100664504
1033,A1006646360
1034,A100665253
1035,A100665332
1036,A100666139
1037,A1006680045
1038,A100668198
1039,A1006682098
1040,A1006685893
1041,A1006701184
1042,A100671067
1043,A100671596
1044,A100673704
1045,A1006738687
1046,A1006739386
1047,A1006744717
1048,A100674783
1049,A100675759
1050,A100676508
1051,A100677516
1052,A100679840
1053,A100680529
1054,A100681721
1055,A100681972
1056,A100682889
1057,A1006829996
1058,A100683313
1059,A1006840565
1060,A1006865469
1061,A100688862
1062,A100690888
1063,A1006910321
1064,A100691527
1065,A100692019
1066,A1006932716
1067,A1006934699
1068,A10069349
1069,A100693851
1070,A100694428
1071,A10069497
1072,A1006962878
1073,A100696575
1074,A100697996
1075,A1006991203
1076,A1006991921
1077,A1006999465
1078,A100700784
1079,A100703358
1080,A100703400
1081,A1007043970
1082,A100704927
1083,A100706534
1084,A1007073319
1085,A100708198
1086,A1007098672
1087,A100710908
1088,A1007112605
1089,A1007125711
1090,A100713066
1091,A10071366
1092,A1007141333
1093,A100714259
1094,A100714371
1095,A100715932
1096,A1007163877
1097,A100716409
1098,A100716422
1099,A1007164802
1100,A1007166871
1101,A1007167497
1102,A100716999
1103,A1007171886
1104,A1007179021
1105,A1007181779
1106,A10071845
1107,A1007195213
1108,A1007197463
1109,A100719806
1110,A1007202024
1111,A1007205972
1112,A1007211580
1113,A100721418
1114,A1007244034
1115,A100726065
1116,A100726572
1117,A1007277141
1118,A100731272
1119,A1007315270
1120,A1007318635
1121,A100732473
